"ZZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 1","[0.2800250430041522, 0.3183948779152589, 0.25093997015691016]"
"ZZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 1","[0.28239379927675556, 0.27907982887424687, 0.2871170676160505, 0.27674863333810384, 0.24424271613200682, 0.25952816034566045, 0.2930643270596585, 0.2743773133022768, 0.230776201647177]"
"ZZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 1","[0.2800250430041522, 0.2800250430077578, 0.28002504299865494, 0.2800250430026642, 0.28002504300143916, 0.2800250430039844, 0.28002504299791625, 0.2800250430017798, 0.2800250429999679, 0.27976269237740886, 0.2797626923810052, 0.2797626923719246, 0.2797626923759214, 0.2797626923747046, 0.27976269237725204, 0.27976269237116896, 0.27976269237504, 0.2797626923732426, 0.2795009814538617, 0.27950098145744934, 0.279500981448391, 0.2795009814523748, 0.2795009814511665, 0.2795009814537167, 0.2795009814476179, 0.27950098145149693, 0.2795009814497134, 0.2792399236351111]"
"ZZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 3","[0.2230098484872255, 0.23405490574343127, 0.21803489467705944]"
"ZZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 3","[0.2196460149837353, 0.23370234628177805, 0.2323263181236286, 0.22127683348762123, 0.2725191843137821, 0.2743267737409826, 0.27692586949475784, 0.27292489490302185, 0.27295950416733494]"
"ZZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 3","[0.2230098484872255, 0.22300984848704478, 0.2230098484852343, 0.22300984848698238, 0.22300984848414118, 0.2230098484860066, 0.2230098484871483, 0.22300984848746871, 0.22300984848699779, 0.22300984848751337, 0.22300984848955133, 0.22300984848516361, 0.22300984848677483, 0.2230098484887652, 0.2230098484874178, 0.22300984848778765, 0.2230098484869957, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.2230098484872255, 0.22286061781805208, 0.2228606178178631, 0.22286061781605873, 0.2228606178178119, 0.22286061781496708, 0.2228606178168356, 0.22286061781796307, 0.22286061781830724, 0.22286061781783, 0.22286061781834046, 0.22286061782036748, 0.2228606178159984, 0.22286061781760208, 0.2228606178195994, 0.22286061781823502, 0.22286061781860872, 0.22286061781780625, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22286061781805208, 0.22271126645336456, 0.22271126645316758, 0.22271126645136857, 0.22271126645312808, 0.2227112664502798, 0.2227112664521512, 0.22271126645326397, 0.22271126645363146, 0.2227112664531489, 0.22271126645365383, 0.22271126645566974, 0.22271126645131933, 0.22271126645291578, 0.22271126645492062, 0.22271126645353834, 0.22271126645391706, 0.2227112664531042, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22271126645336456, 0.22256179765591114]"
"ZZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 5","[0.3019006244204876, 0.3541406268498265, 0.29060942626170294]"
"ZZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 5","[0.29855846070533987, 0.2995131435155339, 0.30965507069201453, 0.28849606171334546, 0.2687167380013249, 0.25841386255854065, 0.24659293958338552, 0.2617689625187875, 0.29291353815909976]"
"ZZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 5","[0.3019006244204876, 0.3019006244277181, 0.3019006244209539, 0.30190062441975024, 0.3019006244201945, 0.3019006244219891, 0.3019006244213449, 0.3019006244201783, 0.3019006244218955, 0.30190062442351595, 0.3019006244178213, 0.30190062442327315, 0.3019006244219414, 0.30190062441894366, 0.30190062442051835, 0.3019006244216726, 0.30190062441628646, 0.3019006244196576, 0.30190062442239335, 0.3019006244175544, 0.3019006244159121, 0.30190062442267296, 0.3019006244289515, 0.30190062442111215, 0.30190062442337245, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3019006244204876, 0.3013599643595331, 0.3013599643667416, 0.3013599643599987, 0.3013599643587936, 0.30135996435922685, 0.30135996436102136, 0.30135996436039403, 0.3013599643592103, 0.3013599643609286, 0.3013599643625492, 0.30135996435687235, 0.30135996436230394, 0.3013599643609879, 0.30135996435799, 0.30135996435955054, 0.3013599643607328, 0.3013599643553349, 0.30135996435869694, 0.30135996436142953, 0.3013599643565908, 0.30135996435495765, 0.3013599643616913, 0.3013599643679806, 0.30135996436016316, 0.3013599643624285, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3013599643595331, 0.3008200527320549, 0.3008200527392417, 0.30082005273251944, 0.3008200527313129, 0.30082005273173507, 0.3008200527335306, 0.3008200527329202, 0.300820052731719, 0.30082005273343704, 0.3008200527350598, 0.30082005272940066, 0.300820052734811, 0.3008200527335095, 0.30082005273051327, 0.30082005273206014, 0.3008200527332701, 0.3008200527278602, 0.30082005273121354, 0.3008200527339418, 0.3008200527291038, 0.30082005272747997, 0.3008200527341853, 0.3008200527404869, 0.30082005273269097, 0.30082005273495993, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3008200527320549, 0.3002809072330759]"
"ZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 1","[0.27217983431923237, 0.27066960853135547, 0.2564527080115939]"
"ZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 1","[0.292289720193609, 0.25202169020810017, 0.2744891369200654, 0.27069933170746635, 0.2740328286848039, 0.26667089421272927, 0.26428568532508234, 0.26968431373826884, 0.26571862666920626]"
"ZFeatureMap(4, reps=1) ADAM(maxiter=3) vdepth 1","[0.27217983431923237, 0.2721798343195285, 0.2721798343180541, 0.27217983431709325, 0.2721798343099843, 0.27217983431698745, 0.2721798343176289, 0.2721798343200833, 0.27217983430973247, 0.2719098728922812, 0.2719098728925749, 0.27190987289111446, 0.2719098728901499, 0.2719098728830628, 0.27190987289005847, 0.2719098728906917, 0.2719098728931258, 0.27190987288281515, 0.27164121911056754, 0.27164121911085837, 0.27164121910941197, 0.2716412191084456, 0.27164121910137956, 0.2716412191083662, 0.27164121910899364, 0.27164121911140765, 0.27164121910113503, 0.27137389435835224]"
"ZFeatureMap(4, reps=1) COBYLA(maxiter=3) vdepth 3","[0.22076455274995896, 0.26872120435601843, 0.20186338930341544]"
"ZFeatureMap(4, reps=1) SPSA(max_trials=3) vdepth 3","[0.2182767793057042, 0.22688878470018228, 0.23107545074349226, 0.23209436959095459, 0.2095352466303695, 0.24984325139386482, 0.2548080697882186, 0.305834556772951, 0.3069384313282635]"
